Year,Industry Name,Sector,Emissions,Production Output,Emission Reduction Measures,Future Expansion Plans,Technological Infrastructure,Carbon Intensity,Compliance History,Emission Limit
2012,Electronics Inc.,Electronics Manufacturing,10661.0,1969.0,"['Implementation of energy-efficient processes', 'Waste recycling initiatives']",Expansion of manufacturing facilities,Advanced,1.9679780417167856,Good,30000.0
2012,PowerGen Corp.,Power Generation,7561.0,5796.0,"['Transition to cleaner energy sources', 'Installation of emission control systems']",Investment in renewable energy projects,Moderate,0.9601709740666649,Average,50000.0
2012,Transit Solutions Ltd.,Transportation,6376.0,231.0,"['Fleet modernization with fuel-efficient vehicles', 'Promotion of public transit']",Expansion of vehicle fleet,Advanced,6.255089639472649,Good,15000.0
2012,Skyward Aerospace,Aerospace,14566.0,143.0,"['Development of more fuel-efficient aircraft', 'Investment in sustainable aviation fuels']",Expansion of aircraft manufacturing capacity,Cutting-edge,25.199652139995365,Good,70000.0
2012,AutoWorks Ltd.,Automotive Manufacturing,9684.0,3414.0,"['Adoption of electric vehicle technology', 'Implementation of lean manufacturing']",Introduction of new vehicle models,Modern,3.020628464600179,Good,40000.0
2013,Electronics Inc.,Electronics Manufacturing,19292.0,1969.0,"['Implementation of energy-efficient processes', 'Waste recycling initiatives']",Expansion of manufacturing facilities,Advanced,1.9679780417167856,Good,30000.0
2013,PowerGen Corp.,Power Generation,18525.0,5796.0,"['Transition to cleaner energy sources', 'Installation of emission control systems']",Investment in renewable energy projects,Moderate,0.9601709740666649,Average,50000.0
2013,Transit Solutions Ltd.,Transportation,17895.0,231.0,"['Fleet modernization with fuel-efficient vehicles', 'Promotion of public transit']",Expansion of vehicle fleet,Advanced,6.255089639472649,Good,15000.0
2013,Skyward Aerospace,Aerospace,9371.0,143.0,"['Development of more fuel-efficient aircraft', 'Investment in sustainable aviation fuels']",Expansion of aircraft manufacturing capacity,Cutting-edge,25.199652139995365,Good,70000.0
2013,AutoWorks Ltd.,Automotive Manufacturing,7357.0,3414.0,"['Adoption of electric vehicle technology', 'Implementation of lean manufacturing']",Introduction of new vehicle models,Modern,3.020628464600179,Good,40000.0
2014,Electronics Inc.,Electronics Manufacturing,12086.0,1969.0,"['Implementation of energy-efficient processes', 'Waste recycling initiatives']",Expansion of manufacturing facilities,Advanced,1.9679780417167856,Good,30000.0
2014,PowerGen Corp.,Power Generation,6959.0,5796.0,"['Transition to cleaner energy sources', 'Installation of emission control systems']",Investment in renewable energy projects,Moderate,0.9601709740666649,Average,50000.0
2014,Transit Solutions Ltd.,Transportation,16408.0,231.0,"['Fleet modernization with fuel-efficient vehicles', 'Promotion of public transit']",Expansion of vehicle fleet,Advanced,6.255089639472649,Good,15000.0
2014,Skyward Aerospace,Aerospace,7028.0,143.0,"['Development of more fuel-efficient aircraft', 'Investment in sustainable aviation fuels']",Expansion of aircraft manufacturing capacity,Cutting-edge,25.199652139995365,Good,70000.0
2014,AutoWorks Ltd.,Automotive Manufacturing,7744.0,3414.0,"['Adoption of electric vehicle technology', 'Implementation of lean manufacturing']",Introduction of new vehicle models,Modern,3.020628464600179,Good,40000.0
2015,Electronics Inc.,Electronics Manufacturing,10618.0,1969.0,"['Implementation of energy-efficient processes', 'Waste recycling initiatives']",Expansion of manufacturing facilities,Advanced,1.9679780417167856,Good,30000.0
2015,PowerGen Corp.,Power Generation,5490.0,5796.0,"['Transition to cleaner energy sources', 'Installation of emission control systems']",Investment in renewable energy projects,Moderate,0.9601709740666649,Average,50000.0
2015,Transit Solutions Ltd.,Transportation,16731.0,231.0,"['Fleet modernization with fuel-efficient vehicles', 'Promotion of public transit']",Expansion of vehicle fleet,Advanced,6.255089639472649,Good,15000.0
2015,Skyward Aerospace,Aerospace,7659.0,143.0,"['Development of more fuel-efficient aircraft', 'Investment in sustainable aviation fuels']",Expansion of aircraft manufacturing capacity,Cutting-edge,25.199652139995365,Good,70000.0
2015,AutoWorks Ltd.,Automotive Manufacturing,12583.0,3414.0,"['Adoption of electric vehicle technology', 'Implementation of lean manufacturing']",Introduction of new vehicle models,Modern,3.020628464600179,Good,40000.0
